"Jose_Maria_Merino_1" "Jose_Maria_Merino_2" "Jose_Maria_Merino_3" "Jose_Maria_Merino_4" "Jose_Maria_Merino_5" "Jose_Maria_Merino_6" "Jose_Maria_Merino_7" "Juan_Pedro_Aparicio_1" "Juan_Pedro_Aparicio_2" "Juan_Pedro_Aparicio_3" "Juan_Pedro_Aparicio_4" "Juan_Pedro_Aparicio_5" "Juan_Pedro_Aparicio_6" "Juan_Pedro_Aparicio_7" "Luis_Mateo_Diez_1" "Luis_Mateo_Diez_2" "Luis_Mateo_Diez_3" "Luis_Mateo_Diez_4" "Luis_Mateo_Diez_5" "Luis_Mateo_Diez_6" "Luis_Mateo_Diez_7"
"una" 1.15163147792706 1.24113475177305 0.731112916328188 0.402010050251256 1.15667718191377 1.38504155124654 0.500500500500501 0.614124872057318 1.07784431137725 1.2636899747262 0.651162790697674 1.09235352532274 1.61750713606089 1.38888888888889 0.523903077930583 0.908521303258145 1.20967741935484 1.43884892086331 0.809716599190283 0.645994832041344 1.10916520723876
"las" 0.863723608445297 1.32978723404255 1.21852152721365 1.00502512562814 1.36698212407992 0.646352723915051 1.4014014014014 0.818833162743091 0.958083832335329 0.8424599831508 0.465116279069767 0.595829195630586 0.856327307326356 0.648148148148148 1.04780615586117 1.06516290726817 1.37096774193548 0.647482014388489 0.67476383265857 1.67958656330749 0.817279626386456
"es" 0.671785028790787 1.06382978723404 0.812347684809098 0.402010050251256 0.315457413249211 0.738688827331487 0.4004004004004 1.74002047082907 2.03592814371257 1.43218197135636 1.3953488372093 1.19165839126117 0.856327307326356 1.48148148148148 0.982318271119843 0.093984962406015 1.29032258064516 1.79856115107914 0.67476383265857 0.258397932816537 0.934033858727379
"no" 0.479846449136276 0.709219858156028 0.324939073923639 1.4070351758794 0.315457413249211 0.738688827331487 0.800800800800801 0.921187308085977 0.598802395209581 1.17944397641112 1.95348837209302 1.68818272095333 1.04662226450999 1.66666666666667 1.04780615586117 0.68922305764411 1.53225806451613 0.575539568345324 0.404858299595142 1.16279069767442 0.467016929363689
"por" 0.767754318618042 0.886524822695035 1.05605199025183 0.904522613065327 0.420609884332282 0.831024930747922 0.500500500500501 1.12589559877175 1.43712574850299 0.8424599831508 1.2093023255814 1.39026812313803 0.570884871550904 0.833333333333333 0.91683038637852 0.908521303258145 0.564516129032258 0.431654676258993 1.07962213225371 0.904392764857881 0.525394045534151
"su" 0.575815738963532 0.265957446808511 0.16246953696182 1.10552763819095 0.736067297581493 1.20036934441367 0.700700700700701 1.02354145342886 0.838323353293413 0.75821398483572 0.930232558139535 0.595829195630586 0.951474785918173 1.48148148148148 0.523903077930583 0.68922305764411 0.887096774193548 0.503597122302158 2.29419703103914 0.258397932816537 0.583771161704612
"como" 0.479846449136276 0.177304964539007 0.406173842404549 0.804020100502513 0.946372239747634 0.738688827331487 0.700700700700701 0.614124872057318 0.598802395209581 0.75821398483572 0.930232558139535 0.695134061569017 0.666032350142721 0.925925925925926 0.785854616895874 0.93984962406015 0.564516129032258 0.935251798561151 0.809716599190283 0.129198966408269 0.875656742556918
"más" 0 0.177304964539007 0.487408610885459 0.703517587939699 0.736067297581493 0.184672206832872 1.001001001001 0.818833162743091 0.359281437125749 0.25273799494524 0.558139534883721 0.595829195630586 0.666032350142721 0.555555555555556 1.17878192534381 0.37593984962406 0.483870967741935 1.07913669064748 0.944669365721997 0.775193798449612 0.700525394045534
"al" 0.767754318618042 0.265957446808511 0.731112916328188 0.703517587939699 0.420609884332282 0.831024930747922 0.900900900900901 0.818833162743091 0.479041916167665 0.92670598146588 0.27906976744186 0.595829195630586 0.761179828734538 0.37037037037037 0.654878847413229 0.37593984962406 0.403225806451613 0.647482014388489 0.67476383265857 0.775193798449612 0.408639813193228
"o" 0.383877159309021 0.265957446808511 0.487408610885459 0.50251256281407 0 0.923361034164358 0.3003003003003 0.307062436028659 0.239520958083832 0.75821398483572 1.2093023255814 0.297914597815293 0.380589914367269 1.11111111111111 0.654878847413229 0.156641604010025 0.32258064516129 0.431654676258993 1.07962213225371 0.129198966408269 0.817279626386456
"para" 0.575815738963532 0.620567375886525 0.24370430544273 0.804020100502513 0.736067297581493 0.461680517082179 0.500500500500501 0.716479017400205 0.718562874251497 0.50547598989048 0.465116279069767 0.695134061569017 0 0.37037037037037 0.851342501637197 0.43859649122807 0.241935483870968 0.503597122302158 0 0.516795865633075 0.291885580852306
"me" 0 0.0886524822695035 0 0 0 0.0923361034164358 0 0 0.119760479041916 0.08424599831508 0.558139534883721 0.099304865938431 0.0951474785918173 0 0.261951538965291 1.59774436090226 0.0806451612903226 0.575539568345324 0.67476383265857 0.904392764857881 0
"novela" 0 0 0 1.80904522613065 0 0.0923361034164358 1.2012012012012 0.921187308085977 0.119760479041916 0.75821398483572 0 0 0.951474785918173 0.555555555555556 0 0 0 0 0.134952766531714 0.904392764857881 0.350262697022767
"sus" 0.863723608445297 0.531914893617021 0.0812347684809098 0.201005025125628 0.841219768664564 0.646352723915051 0.2002002002002 0.307062436028659 0.119760479041916 0.58972198820556 0.0930232558139535 0.198609731876862 0.0951474785918173 0.277777777777778 0.0654878847413229 0.156641604010025 0.403225806451613 0.0719424460431655 0.809716599190283 0.129198966408269 0.233508464681845
"pero" 0.191938579654511 0.531914893617021 0.16246953696182 0.301507537688442 0 0.369344413665743 0.4004004004004 0.511770726714432 0.359281437125749 0.58972198820556 0.372093023255814 0.297914597815293 0.380589914367269 0.555555555555556 0.0654878847413229 0.25062656641604 0.483870967741935 0.0719424460431655 0.269905533063428 0.258397932816537 0.0583771161704612
"sin" 0.287907869481766 0.0886524822695035 0.16246953696182 0.804020100502513 0.420609884332282 0.277008310249307 0.600600600600601 0.409416581371546 0.119760479041916 0.25273799494524 0.0930232558139535 0.794438927507448 0.190294957183635 0.0925925925925926 0.0654878847413229 0.18796992481203 0.161290322580645 0.359712230215827 0.134952766531714 0.129198966408269 0.291885580852306
"vida" 0.191938579654511 0 0 0.100502512562814 0 0.0923361034164358 0.2002002002002 0 0 0.16849199663016 0.372093023255814 0.297914597815293 0.380589914367269 0.37037037037037 0.91683038637852 0.12531328320802 0.0806451612903226 0.863309352517986 0.134952766531714 0.129198966408269 0.700525394045534
"esa" 0.0959692898272553 0.177304964539007 0 0.100502512562814 0.10515247108307 0.277008310249307 0.2002002002002 0.102354145342886 0.119760479041916 0.4212299915754 0.0930232558139535 0.198609731876862 0.380589914367269 0.37037037037037 0.0654878847413229 0.031328320802005 0.241935483870968 0.503597122302158 0.539811066126856 0 0.934033858727379
"ya" 0.0959692898272553 0.0886524822695035 0 0.100502512562814 0 0.369344413665743 0.2002002002002 0.204708290685773 0.119760479041916 0.25273799494524 0.27906976744186 0.099304865938431 0.190294957183635 0.37037037037037 0.45841519318926 0.18796992481203 0.564516129032258 0.215827338129496 0.134952766531714 0.645994832041344 0.350262697022767
"hay" 0.0959692898272553 0.354609929078014 0 0.100502512562814 0.10515247108307 0.184672206832872 0 0.204708290685773 0.119760479041916 0.33698399326032 0 0.695134061569017 0.190294957183635 0.0925925925925926 0.45841519318926 0.18796992481203 0.483870967741935 0.287769784172662 0 0 0.467016929363689
"le" 0 0.177304964539007 0 0 0.10515247108307 0.184672206832872 0.2002002002002 0.102354145342886 0.359281437125749 0.4212299915754 0.186046511627907 0.297914597815293 0.475737392959087 0.185185185185185 0.261951538965291 0.50125313283208 0.32258064516129 0.215827338129496 0.269905533063428 0 0
"si" 0 0.265957446808511 0.324939073923639 0.100502512562814 0 0.184672206832872 0.2002002002002 0.511770726714432 0.598802395209581 0.33698399326032 0.465116279069767 0.099304865938431 0.285442435775452 0 0.261951538965291 0.156641604010025 0.0806451612903226 0.287769784172662 0 0 0.350262697022767
"desde" 0.479846449136276 0.177304964539007 0.324939073923639 0.100502512562814 0.10515247108307 0.369344413665743 0.1001001001001 0.409416581371546 0.119760479041916 0.16849199663016 0.0930232558139535 0.397219463753724 0.190294957183635 0 0 0.06265664160401 0.483870967741935 0.359712230215827 0 0 0.408639813193228
"nos" 0.0959692898272553 0 0 0 0 0 0.1001001001001 0.102354145342886 0.239520958083832 0.25273799494524 0.0930232558139535 0.397219463753724 0.190294957183635 0.185185185185185 0.45841519318926 0.31328320802005 0.0806451612903226 0.647482014388489 0 0.258397932816537 0.233508464681845
"mismo" 0 0 0.0812347684809098 0.201005025125628 0 0.277008310249307 0.1001001001001 0.204708290685773 0 0.25273799494524 0 0.099304865938431 0.190294957183635 0.277777777777778 0.392927308447937 0.156641604010025 0.32258064516129 1.07913669064748 0 0 0.0583771161704612
"muy" 0.383877159309021 0.797872340425532 0.24370430544273 0.201005025125628 0 0 0.1001001001001 0.102354145342886 0.119760479041916 0.25273799494524 0.27906976744186 0.297914597815293 0 0.462962962962963 0.130975769482646 0.031328320802005 0.161290322580645 0.215827338129496 0.134952766531714 0.258397932816537 0.175131348511384
